target_hash,rank_bin_upper
bc99f872f9b7a32840ad3b4ae5406aa5d2911fa64ce676bcb96588165897c63a,999999999
7951772d65b6e5c0bf92df1845f4ef145d049f9d5ca415ec5d210044332b9f8e,999999999
83bfeba5b113297b5ee428bc21a14ed26f01b4b2eb6b4dfa32de0b45afdb74ba,999999999
c4d46e987ecdbd2809756f9a5a724f91bc39f3fd5ddacb7c16255f3632bd341c,999999999
7c6ae6d97edd7bb2fe893770653b824dbb130b8183eb47e12c8154feeabdb324,999999999
be30a4c532d43ebea8e78687660ea58d79f2f4f6219b07da4e36705578b396cf,999999999
53af9ea210ec466fc871d86e8f629ad7ce9e864950e65c7a8f708ff07730921e,999999999
9ef936ae07329b6fa1c596d9cec8b28c12020ad3657dcd5575407c637d64e2dd,999999999
e585aeb205587afb0f852ba2f4f4075947680f3c685250d52e673889cf1f065f,999999999
3583ef0a77e6ef132cd4f65b0c5472708834f72d94ee5cc0b7063504a6e20b72,981000
bd6eae2a824ead41d73b5be98d881096ec3c6a0129d372c48438f4e7308ab220,999999999
144e5120370436787f05ee6e4c110406cad83b26c12b4df890ea95ae1c37dcd8,999999999
ffc9fe8603939ee88d4a7da02e066dee2b3e44ca4071aa67f1ae87defa563e3f,648000
89c707c9e2419880cec9f23c163f4c98c7a2cde48d7df78bf45d1bdff386a449,999999999
b6ee04845f5a7e2f2378347db9a4d6eb7e080fc4f0a64c9f99194b0420d94fd4,999999999
462b554a00989e9fdf0ca7ff0cef75b3382a95829ed86db1eae4efc9d10540b4,999999999
d628762c673257fc939ccb77c27850d8749449c31fb3b7f6bc5845cccfac02c5,999999999
24555ba22126a59496a88eec9a2b0ef8965b7ab1c308bc25acb103393914fe24,400000
170822e2b0e7b821a5a2526f32123534c11c7ab5a87ee480f0996598fc0443f9,281000
27e1871e8e4296afb5f6bbab43d3fa37540e43b031d027cd48d0c219df6c77b8,999999999
346ba6c59e63c973be69c195595403f84af351661f38d0b5105d1871b6c80c0b,999999999
7f65f6948c3ff6e6dcce2a5efa7871d41e7d1219cd29a433094e6e825eac6fa9,999999999
8a73d51a5c75671e1da2b2cd92230f8dc7483c9c41142461462a019c51c9b4ff,999999999
6d05d972c609abc5188a34d6c73f4992ad60f64e7f56a2ac00d56f15136c0a7a,224000
6917dd29a97e2c962138069c32ebcc9ddbb325bae07c050e5b90e81e4a8c0052,240000
